ConfigurationId_x,ProjectName,Coverage_x,ConfigurationId_y,Coverage_y
rt0.2_rndch,pypara,0.8666666666666665,no_deeptyper,0.8666666666666663
rt0.2_rndch,pypara,0.8666666666666665,rt0.1_rndch,0.8666666666666665
rt0.2_rndch,pypara,0.8666666666666665,rt0.2_rndch,0.8666666666666665
rt0.2_rndch,pypara,0.8666666666666665,rt0.3_rndch,0.8666666666666663
rt0.2_rndch,pypara,0.8666666666666665,rt0_rndch,0.8666666666666663
rt0.3_rndch,pypara,0.8666666666666663,no_deeptyper,0.8666666666666663
rt0.3_rndch,pypara,0.8666666666666663,rt0.1_rndch,0.8666666666666665
rt0.3_rndch,pypara,0.8666666666666663,rt0.2_rndch,0.8666666666666665
rt0.3_rndch,pypara,0.8666666666666663,rt0.3_rndch,0.8666666666666663
rt0.3_rndch,pypara,0.8666666666666663,rt0_rndch,0.8666666666666663
rt0_rndch,pypara,0.8666666666666663,no_deeptyper,0.8666666666666663
rt0_rndch,pypara,0.8666666666666663,rt0.1_rndch,0.8666666666666665
rt0_rndch,pypara,0.8666666666666663,rt0.2_rndch,0.8666666666666665
rt0_rndch,pypara,0.8666666666666663,rt0.3_rndch,0.8666666666666663
rt0_rndch,pypara,0.8666666666666663,rt0_rndch,0.8666666666666663
no_deeptyper,python-string-utils,1.0,no_deeptyper,1.0
no_deeptyper,python-string-utils,1.0,rt0.1_rndch,1.0
no_deeptyper,python-string-utils,1.0,rt0.2_rndch,1.0
no_deeptyper,python-string-utils,1.0,rt0.3_rndch,1.0
no_deeptyper,python-string-utils,1.0,rt0_rndch,1.0
rt0.1_rndch,python-string-utils,1.0,no_deeptyper,1.0
rt0.1_rndch,python-string-utils,1.0,rt0.1_rndch,1.0
rt0.1_rndch,python-string-utils,1.0,rt0.2_rndch,1.0
rt0.1_rndch,python-string-utils,1.0,rt0.3_rndch,1.0
rt0.1_rndch,python-string-utils,1.0,rt0_rndch,1.0
rt0.2_rndch,python-string-utils,1.0,no_deeptyper,1.0
rt0.2_rndch,python-string-utils,1.0,rt0.1_rndch,1.0
rt0.2_rndch,python-string-utils,1.0,rt0.2_rndch,1.0
rt0.2_rndch,python-string-utils,1.0,rt0.3_rndch,1.0
rt0.2_rndch,python-string-utils,1.0,rt0_rndch,1.0
rt0.3_rndch,python-string-utils,1.0,no_deeptyper,1.0
rt0.3_rndch,python-string-utils,1.0,rt0.1_rndch,1.0
rt0.3_rndch,python-string-utils,1.0,rt0.2_rndch,1.0
rt0.3_rndch,python-string-utils,1.0,rt0.3_rndch,1.0
rt0.3_rndch,python-string-utils,1.0,rt0_rndch,1.0
rt0_rndch,python-string-utils,1.0,no_deeptyper,1.0
rt0_rndch,python-string-utils,1.0,rt0.1_rndch,1.0
rt0_rndch,python-string-utils,1.0,rt0.2_rndch,1.0
rt0_rndch,python-string-utils,1.0,rt0.3_rndch,1.0
rt0_rndch,python-string-utils,1.0,rt0_rndch,1.0
no_deeptyper,pytutils,0.7161904761904762,no_deeptyper,0.7161904761904762
no_deeptyper,pytutils,0.7161904761904762,rt0.1_rndch,0.7161904761904763
no_deeptyper,pytutils,0.7161904761904762,rt0.2_rndch,0.7161904761904766
no_deeptyper,pytutils,0.7161904761904762,rt0.3_rndch,0.7161904761904766
no_deeptyper,pytutils,0.7161904761904762,rt0_rndch,0.7161904761904764
rt0.1_rndch,pytutils,0.7161904761904763,no_deeptyper,0.7161904761904762
rt0.1_rndch,pytutils,0.7161904761904763,rt0.1_rndch,0.7161904761904763
rt0.1_rndch,pytutils,0.7161904761904763,rt0.2_rndch,0.7161904761904766
rt0.1_rndch,pytutils,0.7161904761904763,rt0.3_rndch,0.7161904761904766
rt0.1_rndch,pytutils,0.7161904761904763,rt0_rndch,0.7161904761904764
rt0.2_rndch,pytutils,0.7161904761904766,no_deeptyper,0.7161904761904762
rt0.2_rndch,pytutils,0.7161904761904766,rt0.1_rndch,0.7161904761904763
rt0.2_rndch,pytutils,0.7161904761904766,rt0.2_rndch,0.7161904761904766
rt0.2_rndch,pytutils,0.7161904761904766,rt0.3_rndch,0.7161904761904766
rt0.2_rndch,pytutils,0.7161904761904766,rt0_rndch,0.7161904761904764
rt0.3_rndch,pytutils,0.7161904761904766,no_deeptyper,0.7161904761904762
rt0.3_rndch,pytutils,0.7161904761904766,rt0.1_rndch,0.7161904761904763
rt0.3_rndch,pytutils,0.7161904761904766,rt0.2_rndch,0.7161904761904766
rt0.3_rndch,pytutils,0.7161904761904766,rt0.3_rndch,0.7161904761904766
rt0.3_rndch,pytutils,0.7161904761904766,rt0_rndch,0.7161904761904764
rt0_rndch,pytutils,0.7161904761904764,no_deeptyper,0.7161904761904762
rt0_rndch,pytutils,0.7161904761904764,rt0.1_rndch,0.7161904761904763
rt0_rndch,pytutils,0.7161904761904764,rt0.2_rndch,0.7161904761904766
rt0_rndch,pytutils,0.7161904761904764,rt0.3_rndch,0.7161904761904766
rt0_rndch,pytutils,0.7161904761904764,rt0_rndch,0.7161904761904764
no_deeptyper,sanic,0.7370512447850796,no_deeptyper,0.7370512447850796
no_deeptyper,sanic,0.7370512447850796,rt0.1_rndch,0.7502096954570688
no_deeptyper,sanic,0.7370512447850796,rt0.2_rndch,0.7528746409533393
no_deeptyper,sanic,0.7370512447850796,rt0.3_rndch,0.750452571724041
no_deeptyper,sanic,0.7370512447850796,rt0_rndch,0.7479874732348464
rt0.1_rndch,sanic,0.7502096954570688,no_deeptyper,0.7370512447850796
rt0.1_rndch,sanic,0.7502096954570688,rt0.1_rndch,0.7502096954570688
rt0.1_rndch,sanic,0.7502096954570688,rt0.2_rndch,0.7528746409533393
rt0.1_rndch,sanic,0.7502096954570688,rt0.3_rndch,0.750452571724041
rt0.1_rndch,sanic,0.7502096954570688,rt0_rndch,0.7479874732348464
rt0.2_rndch,sanic,0.7528746409533393,no_deeptyper,0.7370512447850796
rt0.2_rndch,sanic,0.7528746409533393,rt0.1_rndch,0.7502096954570688
rt0.2_rndch,sanic,0.7528746409533393,rt0.2_rndch,0.7528746409533393
rt0.2_rndch,sanic,0.7528746409533393,rt0.3_rndch,0.750452571724041
rt0.2_rndch,sanic,0.7528746409533393,rt0_rndch,0.7479874732348464
rt0.3_rndch,sanic,0.750452571724041,no_deeptyper,0.7370512447850796
rt0.3_rndch,sanic,0.750452571724041,rt0.1_rndch,0.7502096954570688
rt0.3_rndch,sanic,0.750452571724041,rt0.2_rndch,0.7528746409533393
rt0.3_rndch,sanic,0.750452571724041,rt0.3_rndch,0.750452571724041
rt0.3_rndch,sanic,0.750452571724041,rt0_rndch,0.7479874732348464
rt0_rndch,sanic,0.7479874732348464,no_deeptyper,0.7370512447850796
rt0_rndch,sanic,0.7479874732348464,rt0.1_rndch,0.7502096954570688
rt0_rndch,sanic,0.7479874732348464,rt0.2_rndch,0.7528746409533393
rt0_rndch,sanic,0.7479874732348464,rt0.3_rndch,0.750452571724041
rt0_rndch,sanic,0.7479874732348464,rt0_rndch,0.7479874732348464
no_deeptyper,sty,1.0,no_deeptyper,1.0
no_deeptyper,sty,1.0,rt0.1_rndch,1.0
no_deeptyper,sty,1.0,rt0.2_rndch,1.0
no_deeptyper,sty,1.0,rt0.3_rndch,1.0
no_deeptyper,sty,1.0,rt0_rndch,1.0
rt0.1_rndch,sty,1.0,no_deeptyper,1.0
rt0.1_rndch,sty,1.0,rt0.1_rndch,1.0
rt0.1_rndch,sty,1.0,rt0.2_rndch,1.0
rt0.1_rndch,sty,1.0,rt0.3_rndch,1.0
rt0.1_rndch,sty,1.0,rt0_rndch,1.0
rt0.2_rndch,sty,1.0,no_deeptyper,1.0
rt0.2_rndch,sty,1.0,rt0.1_rndch,1.0
rt0.2_rndch,sty,1.0,rt0.2_rndch,1.0
rt0.2_rndch,sty,1.0,rt0.3_rndch,1.0
rt0.2_rndch,sty,1.0,rt0_rndch,1.0
rt0.3_rndch,sty,1.0,no_deeptyper,1.0
rt0.3_rndch,sty,1.0,rt0.1_rndch,1.0
rt0.3_rndch,sty,1.0,rt0.2_rndch,1.0
rt0.3_rndch,sty,1.0,rt0.3_rndch,1.0
rt0.3_rndch,sty,1.0,rt0_rndch,1.0
rt0_rndch,sty,1.0,no_deeptyper,1.0
rt0_rndch,sty,1.0,rt0.1_rndch,1.0
rt0_rndch,sty,1.0,rt0.2_rndch,1.0
rt0_rndch,sty,1.0,rt0.3_rndch,1.0
rt0_rndch,sty,1.0,rt0_rndch,1.0
no_deeptyper,thonny,1.0,no_deeptyper,1.0
no_deeptyper,thonny,1.0,rt0.1_rndch,1.0
no_deeptyper,thonny,1.0,rt0.2_rndch,1.0
no_deeptyper,thonny,1.0,rt0.3_rndch,1.0
no_deeptyper,thonny,1.0,rt0_rndch,1.0
rt0.1_rndch,thonny,1.0,no_deeptyper,1.0
rt0.1_rndch,thonny,1.0,rt0.1_rndch,1.0
rt0.1_rndch,thonny,1.0,rt0.2_rndch,1.0
rt0.1_rndch,thonny,1.0,rt0.3_rndch,1.0
rt0.1_rndch,thonny,1.0,rt0_rndch,1.0
rt0.2_rndch,thonny,1.0,no_deeptyper,1.0
rt0.2_rndch,thonny,1.0,rt0.1_rndch,1.0
rt0.2_rndch,thonny,1.0,rt0.2_rndch,1.0
rt0.2_rndch,thonny,1.0,rt0.3_rndch,1.0
rt0.2_rndch,thonny,1.0,rt0_rndch,1.0
